Altium Designer Pick and Place Locations
E:\onedrive_an01101\OneDrive\An RD\mach anh cuong\GiaCong\PICKPLACE\2024-10-02 PICKPLACE Project name.csv

========================================================================================================================
File Design Information:

Date:       02/10/24
Time:       17:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Designator7","Comment","TopLayer","Screw_3.0","5.2000","72.7847","0",""
"Designator6","Comment","TopLayer","Screw_3.0","5.2000","5.2000","0",""
"Designator5","Comment","TopLayer","Screw_3.0","120.8000","5.2000","0",""
"Designator4","Comment","TopLayer","Screw_3.0","120.8000","72.8000","0",""
"P9","KF128 2P","TopLayer","KF128_5.08_2P","55.9600","11.1500","0","Header, 2-Pin, Medium KF128 2P-5.08mm"
"P5","KF128 2P","TopLayer","KF128_5.08_2P","88.9665","11.1500","0","Header, 2-Pin, Medium KF128 2P-5.08mm"
"UN1","MC34063ADR","TopLayer","SO_8","50.4287","72.7214","0","MC3x063A 1.5-A Peak Boost/Buck/Inverting Switching Regulators"
"U2","JQ6500","TopLayer","JQ6500_md","89.9718","38.9273","90",""
"U1","MS51FB9AE","TopLayer","SOG65_20","41.3203","39.8076","0","MS51FB9AE, ROM 16KB, RAM 256B + 1KB, SPROM 128B, 1T 8051-based CMOS up to 24Mhz"
"SW2","BT4","TopLayer","SW4","41.0000","9.0000","180","Switch button 4 pin 6x6x5mm DIP"
"SW1","BT4","TopLayer","SW4","72.0000","9.0000","0","Switch button 4 pin 6x6x5mm DIP"
"RL1","Relay 20A/5V","TopLayer","Relay_5_pin_SRA_AL","102.0112","58.9063","0","Relay SPDT,20A - 5VDC 5 Pin SONGLE SRA"
"R39","10K","TopLayer","RES-SMD-0805","113.7660","45.3295","0","Resistor SMD 0805"
"R38","10K","TopLayer","RES-SMD-0805","113.8887","30.1069","0","Resistor SMD 0805"
"R37","10K","TopLayer","RES-SMD-0805","113.7660","43.1188","0","Resistor SMD 0805"
"R36","10K","TopLayer","RES-SMD-0805","113.8887","28.0443","0","Resistor SMD 0805"
"R35","2.2k","TopLayer","RES-SMD-0805","74.9315","26.1999","270","Resistor SMD 0805"
"R34","10K","TopLayer","RES-SMD-0805","66.8733","43.5426","270","Resistor SMD 0805"
"R33","10K","TopLayer","RES-SMD-0805","74.9315","30.1933","270","Resistor SMD 0805"
"R32","10K","TopLayer","RES-SMD-0805","46.8001","10.3680","270","Resistor SMD 0805"
"R31","10K","TopLayer","RES-SMD-0805","78.8065","10.4000","270","Resistor SMD 0805"
"R30","10K","TopLayer","RES-SMD-0805","77.4489","62.3814","90","Resistor SMD 0805"
"R29","10K","TopLayer","RES-SMD-0805","59.8000","44.1013","180","Resistor SMD 0805"
"R28","10K","TopLayer","RES-SMD-0805","104.6553","32.3113","90","Resistor SMD 0805"
"R27","10K","TopLayer","RES-SMD-0805","107.1000","32.3113","90","Resistor SMD 0805"
"R26","2.2k","TopLayer","RES-SMD-0805","76.0221","54.0107","180","Resistor SMD 0805"
"R25","2.2k","TopLayer","RES-SMD-0805","55.2090","44.1013","180","Resistor SMD 0805"
"R24","4.7K","TopLayer","RES-SMD-0805","104.6553","44.1083","90","Resistor SMD 0805"
"R23","2.2k","TopLayer","RES-SMD-0805","87.3457","57.4382","180","Resistor SMD 0805"
"R22","4.7K","TopLayer","RES-SMD-0805","107.1000","44.1083","90","Resistor SMD 0805"
"R21","1k","TopLayer","RES-SMD-0805","26.3341","20.8428","270","Resistor SMD 0805"
"R20","100R","TopLayer","RES-SMD-0805","18.1492","60.4046","90","Resistor SMD 0805"
"R19","100R","TopLayer","RES-SMD-0805","17.8044","50.5810","90","Resistor SMD 0805"
"R18","10K","TopLayer","RES-SMD-0805","44.9204","56.2482","0","Resistor SMD 0805"
"R17","2.2k","TopLayer","RES-SMD-0805","29.0470","20.8428","270","Resistor SMD 0805"
"R16","10K","TopLayer","RES-SMD-0805","20.1145","60.4046","270","Resistor SMD 0805"
"R15","10K","TopLayer","RES-SMD-0805","19.9358","50.5633","270","Resistor SMD 0805"
"R14","10K","TopLayer","RES-SMD-0805","31.7047","16.2381","270","Resistor SMD 0805"
"R13","100R","TopLayer","RES-SMD-0805","17.6491","41.7669","90","Resistor SMD 0805"
"R12","100R","TopLayer","RES-SMD-0805","17.6855","32.0091","90","Resistor SMD 0805"
"R11","2.2k","TopLayer","RES-SMD-0805","37.5349","58.2491","0","Resistor SMD 0805"
"R10","10K","TopLayer","RES-SMD-0805","19.7644","41.7667","270","Resistor SMD 0805"
"R9","10K","TopLayer","RES-SMD-0805","19.8730","32.0089","270","Resistor SMD 0805"
"R8","680R","TopLayer","RES-SMD-0805","64.4405","70.4200","0","Resistor SMD 0805"
"R7","2.2k","TopLayer","RES-SMD-0805","64.4965","68.4274","180","Resistor SMD 0805"
"R6","10K","TopLayer","RES-SMD-0805","96.7962","74.5003","180","Resistor SMD 0805"
"R5","0.22R/1W","TopLayer","RES-SMD-2512","62.1837","73.3991","0","Resistor SMD 2512 1W"
"R4","100R","TopLayer","RES-SMD-0805","17.7368","21.3001","90","Resistor SMD 0805"
"R3","100R","TopLayer","RES-SMD-0805","17.7967","12.0865","90","Resistor SMD 0805"
